"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"residual_run_order_gam_mean_deviance",0.043772965202549,"lower",1990,"proportion","","batchcorr_set1","winn_fixed_no_qc","WiNN fixed default (no QC)","BatchCorr Set 1","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.131658082609212,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","raw","Raw","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",32.5994242278841,"lower",113,"percent","","sacurine","raw","Raw","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.128318584070796,"lower",226,"proportion","","sacurine","raw","Raw","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0684058304178776,"lower",226,"proportion","","sacurine","raw","Raw","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000511163884187992,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","combat","ComBat","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",26.8154383406086,"lower",113,"percent","","sacurine","combat","ComBat","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.128318584070796,"lower",226,"proportion","","sacurine","combat","ComBat","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0684058359503175,"lower",226,"proportion","","sacurine","combat","ComBat","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000115135878716251,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","qc_rlsc","QC-RLSC","Sacurine","Batch weighted-PC R²"
"heldout_qc_cv_mean",14.5016797069405,"lower",113,"percent","","sacurine","qc_rlsc","QC-RLSC","Sacurine","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00442477876106195,"lower",226,"proportion","","sacurine","qc_rlsc","QC-RLSC","Sacurine","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.0371448483850514,"lower",226,"proportion","","sacurine","qc_rlsc","QC-RLSC","Sacurine","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0137370036605432,"lower",184,"weighted R-squared","Batch is explicitly categorical.","sacurine","qc_rfsc","QC-RFSC","Sacurine","Batch weighted-PC R²"
