"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF03_none_0p00","CONF03","Raw","clean_feature_icc_a1_mean",0.61253885064166,"higher","value","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","clean_feature_icc_a1_median",0.592885490352236,"higher","value","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","heldout_qc_cv_mean",41.7869793310591,"lower","percent","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","heldout_qc_cv_median",40.8705214279567,"lower","percent","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","heldout_qc_cv_sd",30.5382442292057,"lower","percent","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","batch_weighted_pc_r2_categorical",0.959813439097892,"lower","weighted_R2","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","phenotype_weighted_pc_r2_categorical",0.000269741147978146,"descriptive","weighted_R2","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","residual_ljung_box_profiles_tested",5000,"descriptive","count","calculated_full_feature_batch_profiles","none",0
"CONF03_none_0p00","CONF03","Raw","residual_ljung_box_profiles_significant",1205,"lower","count","calculated_full_feature_batch_profiles","none",0
"CONF03_none_0p00","CONF03","Raw","residual_ljung_box_proportion_significant",0.241,"lower","proportion","calculated_full_feature_batch_profiles","none",0
"CONF03_none_0p00","CONF03","Raw","residual_ljung_box_median_statistic",11.3668030210609,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF03_none_0p00","CONF03","Raw","residual_run_order_gam_mean_deviance",0.121436964414305,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF03_none_0p00","CONF03","Raw","retained_features",1000,"higher","count","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","retained_samples",500,"higher","count","calculated","none",0
"CONF03_none_0p00","CONF03","Raw","runtime_sec",0,"lower","seconds","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","coefficient_pearson_vs_injected_all",0.949553878466151,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","coefficient_spearman_vs_injected_all",0.520336689798318,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","coefficient_pearson_vs_injected_responsive",0.992083288398765,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","coefficient_pearson_vs_clean_all",0.993906655671333,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","effect_rmse_vs_injected_all",0.0611502472546842,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","effect_rmse_vs_injected_responsive",0.186758164724955,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","effect_rmse_vs_clean_all",0.00688261243133125,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","effect_rmse_vs_clean_responsive",0.0158747195874348,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","recovered_vs_injected_slope",0.469733045764602,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","recovered_vs_injected_intercept",0.000192231218760635,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive",0.46980028876501,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","median_attenuation_ratio_clean_responsive",0.964477726285645,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","sign_concordance_responsive",1,"higher","correlation_or_proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","n_discoveries_bh_0p05",107,"descriptive","count","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","true_positive_rate",1,"higher","proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","empirical_fdr",0.0654205607476635,"lower","proportion","calculated","none",0
"CONF03_none_0p00","CONF03","WiNN fixed default (no QC)","null_feature_false_positive_rate",0.00777777777777778,"lower","proportion","calculated","none",0
